,Year,MSL
248,1945,-0.07200000000000001
249,1945,-0.075
250,1945,-0.08199999999999999
251,1945,-0.094
252,1945,-0.14
253,1945,-0.106
254,1946,-0.134
255,1946,-0.11199999999999999
256,1946,-0.10800000000000001
257,1946,-0.086
258,1946,-0.115
259,1946,-0.105
260,1946,-0.115
261,1946,-0.139
262,1946,-0.079
263,1946,-0.094
264,1946,-0.08199999999999999
265,1946,-0.079
266,1947,-0.08199999999999999
267,1947,-0.094
268,1947,-0.059000000000000004
269,1947,-0.11599999999999999
270,1947,-0.087
271,1947,-0.126
272,1947,-0.133
273,1947,-0.142
274,1947,-0.131
275,1947,-0.133
276,1947,-0.121
277,1947,-0.10300000000000001
278,1948,-0.067
279,1948,-0.09699999999999999
280,1948,-0.10800000000000001
281,1948,-0.10400000000000001
282,1948,-0.10800000000000001
283,1948,-0.111
284,1948,-0.124
285,1948,-0.121
286,1948,-0.109
287,1948,-0.127
288,1948,-0.11800000000000001
289,1948,-0.11
290,1949,-0.098
291,1949,-0.08199999999999999
292,1949,-0.16
293,1949,-0.11900000000000001
294,1949,-0.105
295,1949,-0.08
296,1949,-0.133
297,1949,-0.11800000000000001
298,1949,-0.109
299,1949,-0.139
300,1949,-0.134
301,1949,-0.177
302,1950,-0.183
303,1950,-0.16399999999999998
304,1950,-0.17800000000000002
305,1950,-0.10099999999999999
306,1950,-0.105
307,1950,-0.10800000000000001
308,1950,-0.066
309,1950,-0.14800000000000002
310,1950,-0.125
311,1950,-0.11199999999999999
312,1950,-0.13699999999999998
313,1950,-0.11599999999999999
314,1951,-0.195
315,1951,-0.146
316,1951,-0.08900000000000001
317,1951,-0.10400000000000001
318,1951,-0.078
319,1951,-0.059000000000000004
320,1951,-0.051
321,1951,-0.06
322,1951,-0.051
323,1951,-0.042
324,1951,-0.042
325,1951,-0.08199999999999999
326,1952,-0.08199999999999999
327,1952,-0.091
328,1952,-0.086
329,1952,-0.061
330,1952,-0.121
331,1952,-0.11699999999999999
332,1952,-0.127
333,1952,-0.099
334,1952,-0.08800000000000001
